District,TotalFilings,Chapter7,Chapter11,Chapter12,Chapter13,Business,NonBusiness,Year
"TN, M    ",14240.0,8516,165,4,5555,448.0,13792.0,2010
"TN, W    ",18670.0,5844,64,0,12762,244.0,18426.0,2010
     7TH ,160396.0,122303,606,65,37419,4045.0,156351.0,2010
"IL, N    ",66016.0,50527,304,8,15176,1839.0,64177.0,2010
"IL, C    ",10482.0,8356,18,5,2103,214.0,10268.0,2010
"IL, S    ",6171.0,3734,20,1,2415,144.0,6027.0,2010
"IN, N    ",18845.0,14885,64,4,3891,308.0,18537.0,2010
"IN, S    ",28459.0,20151,123,4,8181,610.0,27849.0,2010
"WI, E    ",20856.0,16260,35,12,4549,537.0,20319.0,2010
"WI, W    ",9567.0,8390,42,31,1104,393.0,9174.0,2010
     8TH ,93517.0,70603,404,92,22415,2963.0,90554.0,2010
"AR, E    ",9616.0,4951,23,3,4639,219.0,9397.0,2010
"AR, W    ",6887.0,4199,63,10,2615,318.0,6569.0,2010
"IA, N    ",3531.0,3343,7,10,171,153.0,3378.0,2010
"IA, S    ",6298.0,5670,29,0,599,228.0,6070.0,2010
MN       ,22262.0,19264,77,11,2910,788.0,21474.0,2010
"MO, E    ",17516.0,12696,40,6,4774,380.0,17136.0,2010
"MO, W    ",15781.0,11434,68,16,4262,392.0,15389.0,2010
NE       ,7943.0,5766,75,29,2071,315.0,7628.0,2010
ND       ,1652.0,1461,8,4,179,70.0,1582.0,2010
SD       ,2031.0,1819,14,3,195,100.0,1931.0,2010
     9TH ,404289.0,312845,3552,122,87760,13953.0,390336.0,2010
AK       ,1116.0,924,10,1,181,76.0,1040.0,2010
AZ       ,42829.0,35393,635,2,6795,1636.0,41193.0,2010
"CA, N    ",39066.0,25616,444,11,12992,1548.0,37518.0,2010
"CA, E    ",54837.0,44398,220,39,10180,1243.0,53594.0,2010
"CA, C    ",142726.0,109415,1123,13,32174,5363.0,137363.0,2010
"CA, S    ",23581.0,18950,145,3,4483,660.0,22921.0,2010
HI       ,3978.0,3107,20,1,849,156.0,3822.0,2010
ID       ,8355.0,7284,62,11,997,351.0,8004.0,2010
MT       ,3108.0,2633,31,12,432,162.0,2946.0,2010
NV       ,30143.0,22581,463,2,7097,982.0,29161.0,2010
OR       ,20243.0,15798,65,17,4363,575.0,19668.0,2010
"WA, E    ",7299.0,5858,37,5,1399,245.0,7054.0,2010
"WA, W    ",26825.0,20737,297,5,5786,943.0,25882.0,2010
GUAM     ,173.0,142,0,0,31,11.0,162.0,2010
NMI      ,10.0,9,0,0,1,2.0,8.0,2010
     10TH,85601.0,67270,476,53,17802,3253.0,82348.0,2010
CO       ,32776.0,27371,182,9,5214,1361.0,31415.0,2010
KS       ,11234.0,7858,54,24,3298,329.0,10905.0,2010
NM       ,6571.0,5989,48,3,531,279.0,6292.0,2010
"OK, N    ",4540.0,4056,26,1,457,196.0,4344.0,2010
"OK, E    ",2345.0,2092,11,6,236,74.0,2271.0,2010
