Year,FIPS,Unemployment,LaborForce
2000,55035,3.167471849916349,53197.0
2000,55033,3.370236983682362,22491.0
2000,55075,4.353239361465605,22489.0
2000,55077,5.198776758409786,7521.0
2000,55029,3.906439854191981,16460.0
2000,55025,2.297841889194381,265510.0
2000,54083,6.1341953796420405,12683.0
2000,55019,4.248887874985742,17534.0
2000,55017,4.1662497081290235,29979.0
2000,55015,2.671312427409988,24108.0
2000,55013,3.8263995891114537,7788.0
2000,55011,3.5968479918657854,7868.0
2000,55009,2.8182220121663035,131182.0
2000,55007,5.26247569669475,7715.0
2000,55005,3.8943867943427217,24959.0
2000,55003,5.278526504941599,8904.0
2000,55001,4.385964912280701,8892.0
2000,54109,7.828846832020689,8507.0
2000,54107,4.651832649240297,41661.0
2000,54105,7.148499210110584,2532.0
2000,54103,8.14730555950519,7033.0
