ZCTA5,NAME,POP100,AREALAND,AREALAND_MILES,DENSITY,YEAR
680,ZCTA5 00680,58140.0,166308109,64.21191986926868,905.4393657496813,2010
682,ZCTA5 00682,32615.0,37304322,14.403279247444253,2264.4148905039992,2010
683,ZCTA5 00683,33772.0,135167707,52.18854343895394,647.1152052653823,2010
685,ZCTA5 00685,42831.0,200808252,77.53249955185235,552.4264050245845,2010
687,ZCTA5 00687,32610.0,100676194,38.87129581799856,838.9223799660573,2010
688,ZCTA5 00688,13543.0,82408347,31.818040659237415,425.639031172342,2010
690,ZCTA5 00690,6255.0,7292572,2.8156777905812906,2221.489980467072,2010
692,ZCTA5 00692,37511.0,69309250,26.760451032481587,1401.7327269435593,2010
693,ZCTA5 00693,61038.0,101816857,39.31170826447668,1552.6672000452318,2010
694,ZCTA5 00694,328.0,2070447,0.7994040558633718,410.30564905722633,2010
698,ZCTA5 00698,41782.0,180312890,69.61919604338871,600.1505672941158,2010
703,ZCTA5 00703,28605.0,76855359,29.674020006035168,963.9745472363452,2010
704,ZCTA5 00704,8577.0,12632279,4.877350189305835,1758.5368421578758,2010
705,ZCTA5 00705,25598.0,82748305,31.949299176853756,801.206932843927,2010
707,ZCTA5 00707,12225.0,54561533,21.066325665097057,580.3100262640736,2010
714,ZCTA5 00714,19566.0,37866742,14.620430823455942,1338.264257480686,2010
715,ZCTA5 00715,3656.0,20381785,7.869451183602012,464.5813176423534,2010
716,ZCTA5 00716,33779.0,22174333,8.561557835706497,3945.426830981931,2010
717,ZCTA5 00717,18457.0,5443510,2.1017509610885106,8781.725495413119,2010
718,ZCTA5 00718,26606.0,117171776,45.24027563473708,588.104285986511,2010
719,ZCTA5 00719,30990.0,72527840,28.00315557896903,1106.6609944228626,2010
720,ZCTA5 00720,23129.0,154382622,59.607463596808714,388.02187854271136,2010
723,ZCTA5 00723,19277.0,119553980,46.160049741243526,417.61220163452725,2010
725,ZCTA5 00725,89374.0,109357735,42.22325753763888,2116.7007287471783,2010
727,ZCTA5 00727,58382.0,55678137,21.49744887974262,2715.7641042242117,2010
728,ZCTA5 00728,44908.0,40524726,15.646684183247306,2870.128870376408,2010
729,ZCTA5 00729,53750.0,87961324,33.96205706531592,1582.648539121993,2010
730,ZCTA5 00730,35742.0,16873784,6.5150044253064525,5486.10525284774,2010
731,ZCTA5 00731,15524.0,123629336,47.73355348970322,325.2219636937095,2010
735,ZCTA5 00735,13730.0,60368950,23.30858190439702,589.0534248851029,2010
736,ZCTA5 00736,51532.0,142702112,55.097593472843855,935.2858582725353,2010
738,ZCTA5 00738,34922.0,76345243,29.477063117324274,1184.7177536311488,2010
739,ZCTA5 00739,39678.0,81796387,31.581761582291158,1256.3580374265332,2010
740,ZCTA5 00740,2071.0,1103407,0.4260278244591798,4861.1848360586,2010
741,ZCTA5 00741,4971.0,6121387,2.363480734019909,2103.2538697893724,2010
745,ZCTA5 00745,55062.0,133676567,51.61281106625369,1066.828154919109,2010
751,ZCTA5 00751,23129.0,121693706,46.98620256854908,492.2508893170639,2010
754,ZCTA5 00754,40828.0,132164366,51.02894699599223,800.0948952210713,2010
757,ZCTA5 00757,23263.0,77271800,29.83480877504389,779.7268008454255,2010
765,ZCTA5 00765,9098.0,49323163,19.04377970081349,477.7412962622836,2010
766,ZCTA5 00766,26488.0,103701684,40.039444037669995,661.5476472420422,2010
767,ZCTA5 00767,38019.0,143501382,55.406193345108115,686.1868268623213,2010
769,ZCTA5 00769,40248.0,198169782,76.51378058958294,526.0228901233984,2010
771,ZCTA5 00771,38394.0,87591179,33.81914328183943,1135.2741753401313,2010
772,ZCTA5 00772,23105.0,37996901,14.670685494310653,1574.909366638676,2010
773,ZCTA5 00773,20068.0,62966803,24.311618555292615,825.4489496188322,2010
775,ZCTA5 00775,1786.0,27392741,10.576396428701084,168.86659005645305,2010
777,ZCTA5 00777,40684.0,68848064,26.582386122388545,1530.4871358306928,2010
778,ZCTA5 00778,45429.0,76769096,29.64071367553217,1532.655404228703,2010
780,ZCTA5 00780,13800.0,52112335,20.120685030580713,685.8613401594365,2010
782,ZCTA5 00782,19304.0,69008756,26.644429650450263,724.5041553994677,2010
783,ZCTA5 00783,36557.0,108367778,41.841033003067196,873.7116982107052,2010
784,ZCTA5 00784,44637.0,144002890,55.599826666438204,802.8262438261213,2010
786,ZCTA5 00786,357.0,666251,0.25724094923609603,1387.803928807404,2010
791,ZCTA5 00791,53417.0,95625611,36.92125481976262,1446.7818133691328,2010
794,ZCTA5 00794,30585.0,91419779,35.29737400606396,866.4950541291147,2010
795,ZCTA5 00795,48736.0,119809173,46.258580309390375,1053.555895447719,2010
801,ZCTA5 00801,1507.0,2875851,1.110372278768176,1357.2024705730537,2010
802,ZCTA5 00802,50127.0,71678116,27.67507530839729,1811.2687839657026,2010
820,ZCTA5 00820,22036.0,78982028,30.495131497456537,722.6071480241993,2010
823,ZCTA5 00823,521.0,1035364,0.39975627528496216,1303.2941124654278,2010
824,ZCTA5 00824,99.0,57054,0.022028672553911697,4494.142793112619,2010
830,ZCTA5 00830,4096.0,50005510,19.307235350393608,212.1484472356886,2010
831,ZCTA5 00831,74.0,119742,0.046232644669094096,1600.6006260218985,2010
840,ZCTA5 00840,13494.0,48722702,18.811940412588402,717.3103733079129,2010
841,ZCTA5 00841,1331.0,6600911,2.548625985496439,522.242183660675,2010
850,ZCTA5 00850,9860.0,60061141,23.189736185075905,425.1881056907214,2010
851,ZCTA5 00851,3260.0,19686484,7.600993966660038,428.8912758382941,2010
901,ZCTA5 00901,7080.0,2535591,0.978997158299953,7231.89024602947,2010
906,ZCTA5 00906,4.0,8247,0.00318418450156185,1256.2086141798602,2010
907,ZCTA5 00907,17458.0,3118631,1.204110160820945,14498.673433747446,2010
909,ZCTA5 00909,6230.0,1580638,0.6102877436861549,10208.299387385083,2010
911,ZCTA5 00911,8623.0,1232506,0.4758732270258263,18120.372213190338,2010
912,ZCTA5 00912,6801.0,862980,0.333198440785479,20411.259980591098,2010
913,ZCTA5 00913,9312.0,834834,0.3223312094309307,28889.53885799687,2010
915,ZCTA5 00915,32820.0,3616962,1.396516835593325,23501.327849052443,2010
917,ZCTA5 00917,21053.0,3360014,1.2973086581582196,16228.212050853652,2010
918,ZCTA5 00918,18056.0,5516964,2.1301117090426422,8476.550747714115,2010
920,ZCTA5 00920,17893.0,7363180,2.8429396917921887,6293.837344372316,2010
921,ZCTA5 00921,37763.0,6923313,2.673106093617276,14127.011303505242,2010
923,ZCTA5 00923,29086.0,5285549,2.0407618780217938,14252.52025395262,2010
924,ZCTA5 00924,56691.0,12154899,4.6930327408572365,12079.82196809578,2010
925,ZCTA5 00925,8696.0,1158082,0.44713795997790107,19448.1363211251,2010
926,ZCTA5 00926,108862.0,62577141,24.161169215987705,4505.6594334004685,2010
927,ZCTA5 00927,14936.0,6805789,2.6277298235358457,5683.9937904659755,2010
934,ZCTA5 00934,288.0,1938926,0.7486235138687173,384.7060567356227,2010
936,ZCTA5 00936,681.0,417954,0.1613729415746067,4220.038337004329,2010
949,ZCTA5 00949,82278.0,45543338,17.584381109372238,4679.038715564856,2010
950,ZCTA5 00950,9.0,6204978,2.3957553995552616,3.7566439385551313,2010
951,ZCTA5 00951,35.0,1075640,0.415306925822722,84.27502125245103,2010
952,ZCTA5 00952,10008.0,3202145,1.2363550964900896,8094.761794901715,2010
953,ZCTA5 00953,73014.0,69143619,26.69650054585879,2734.965201696672,2010
956,ZCTA5 00956,79304.0,68564545,26.47291882449861,2995.6651371064672,2010
957,ZCTA5 00957,45680.0,11967889,4.6208277761868,9885.674648038073,2010
959,ZCTA5 00959,50560.0,16617995,6.4162437402731065,7879.999895055096,2010
960,ZCTA5 00960,1779.0,2366333,0.913646279148097,1947.1430471525337,2010
961,ZCTA5 00961,32429.0,13404396,5.175466229658985,6265.908917376274,2010
962,ZCTA5 00962,22491.0,9888766,3.818073897995849,5890.666498572955,2010
965,ZCTA5 00965,9134.0,1746398,0.6742880374874028,13546.139768452651,2010
966,ZCTA5 00966,16676.0,8340962,3.220463432583525,5178.136733762617,2010
968,ZCTA5 00968,3478.0,1185647,0.45778086597833184,7597.52156212799,2010
969,ZCTA5 00969,42219.0,12646641,4.88289538850693,8646.304424086697,2010
