keyword,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28,2023-06-04,2023-06-11
devron,74,42,72,100,53,35,61,39,55,37,66,47,57,51,38,28,44,44,28,37,39,55,49,30,40,31,25,49,23,39,27,13,43,23,46,53,35,42,78,74,83,49,46,28,54,57,68,55,71,62,61,66
gooroo,32,62,48,100,61,41,55,0,50,48,52,0,78,54,93,70,54,60,53,28,0,77,39,0,60,35,21,55,84,51,45,84,46,64,32,68,88,52,97,52,67,30,42,47,44,97,32,71,76,25,97,88
roborobo,0,0,0,0,0,0,40,30,0,58,0,93,76,100,33,55,0,41,33,0,0,34,49,0,46,67,0,26,0,37,0,0,34,46,22,0,61,35,75,0,0,0,52,0,43,0,0,0,40,53,66,81
mtek,45,57,100,73,72,73,80,77,41,51,77,53,50,63,42,51,62,72,62,53,54,46,87,69,65,62,56,56,66,40,75,91,94,61,48,55,75,51,78,70,62,67,62,59,71,85,82,61,54,65,70,71
spendit,93,0,53,44,21,37,24,68,37,44,99,40,35,49,0,22,32,36,50,64,79,64,34,72,52,56,66,0,28,57,47,41,48,29,49,25,18,16,26,13,18,67,30,78,72,64,100,57,68,34,66,22
allthings,30,70,61,62,46,53,62,69,74,51,79,56,45,62,84,55,57,68,72,53,43,37,84,62,24,58,32,46,41,62,49,54,51,43,35,82,70,69,58,100,44,47,55,37,84,35,26,34,27,32,60,70
loyaltylion,0,0,16,32,40,0,30,0,37,0,22,22,0,0,40,22,0,24,26,18,47,64,0,0,27,29,0,0,0,39,20,41,22,0,0,25,100,31,39,34,16,18,23,16,19,34,0,33,23,0,26,0
breezytail,0,77,0,0,0,0,62,63,0,91,44,0,0,0,0,42,0,86,0,0,0,0,0,0,0,0,50,0,0,0,0,100,0,0,43,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,90
mvlchain,0,38,0,57,0,72,0,0,0,0,0,0,0,0,100,39,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ubitus,17,0,27,0,0,8,9,0,0,0,9,0,0,10,14,0,13,0,0,0,0,0,12,0,0,0,13,0,0,10,13,0,0,0,0,0,17,0,100,22,16,0,0,0,0,20,8,12,8,23,0,0
