,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
wealth.com,0.0,23,18,0,0,0,81,61,37,56,59,45,59,50,36,42,65,28,61,69,44,53,100,55,46,0,15,99,59,26,29,87,42,0,30,14,22,47,32,19,65,30,61,66,0,31,16,78,46,50,25,0
dailyvoice,65.0,0,0,38,0,27,39,58,0,0,34,69,0,31,86,39,46,0,43,58,26,0,0,0,29,0,0,0,67,0,38,30,74,0,41,0,70,0,100,40,76,0,41,0,0,36,43,0,0,49,0,0
checksammy,0.0,0,0,0,0,0,0,62,0,0,0,54,0,0,0,0,0,0,0,42,30,24,20,0,0,0,0,0,0,0,0,0,0,75,0,0,40,100,0,0,17,23,42,0,0,73,0,0,0,0,28,30
tera-barrier,0.0,0,0,0,0,0,0,0,53,0,0,0,34,0,49,0,0,0,100,0,0,0,0,0,0,55,0,67,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
santanderconsumer,68.0,72,77,41,94,71,68,100,33,50,18,55,60,37,57,85,0,95,76,78,45,43,55,72,46,0,33,0,54,43,38,54,33,48,33,69,36,45,67,62,24,51,32,38,73,45,63,85,55,0,68,25
qualtre,0.0,0,100,74,0,0,0,0,0,0,90,0,0,0,42,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,36,0,0,0,0,0,0,79
bluekiwi,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,30,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,58,0,0,0,100,0,41,0,0,0,0,0,0
crossweave,24.0,40,49,0,0,0,0,48,33,52,39,54,0,0,30,0,36,0,0,0,0,0,52,0,80,0,0,57,0,31,62,100,37,34,41,0,33,21,0,66,27,0,0,80,0,0,0,0,28,0,63,0
dropit,52.0,46,54,98,76,55,51,56,29,57,67,38,55,32,44,74,26,55,37,70,0,51,36,90,13,56,36,57,0,100,40,52,74,75,39,75,50,35,29,0,45,80,98,53,80,46,63,47,37,0,41,20
packethop,0.0,0,100,56,68,0,0,0,66,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,64,0,0,47,0,0
zortrax,67.0,74,57,81,71,97,68,55,81,41,69,61,45,71,75,66,98,79,64,71,70,63,66,81,92,95,77,72,75,49,58,98,66,69,93,79,80,67,98,85,65,77,92,60,71,49,51,74,58,42,57,100
coverfy,0.0,0,0,61,0,0,62,0,49,0,76,0,30,0,63,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,30,0,66,0,97,0,0,0,0,0,0,0,0,0,100
hyloathletics,0.0,0,0,0,0,50,0,0,0,0,0,40,64,0,0,0,0,0,0,0,0,0,0,0,67,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,100,0,0,0
avizia,0.0,0,0,0,0,0,50,0,59,38,0,56,0,0,0,0,80,59,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
terascala,0.0,84,46,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,100,66,0,67,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gimletmedia,100.0,0,0,25,0,0,0,0,0,0,39,24,33,0,0,0,0,0,0,32,31,0,0,34,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atomera,44.0,17,40,36,24,60,66,46,100,55,0,62,53,47,60,43,48,0,51,0,0,0,0,32,27,22,45,38,24,0,0,18,0,0,30,60,20,0,23,14,60,0,38,0,52,26,75,81,28,53,56,51
hydron,43.0,58,56,46,100,51,42,42,23,44,33,53,36,55,50,42,40,43,38,47,55,80,46,38,43,54,36,48,39,45,47,51,40,39,44,55,58,44,46,57,59,44,50,36,36,35,38,55,41,49,48,48
intela,38.0,58,63,70,84,74,70,76,61,25,94,49,69,56,57,62,99,48,57,63,38,64,71,76,36,49,50,31,42,42,74,0,48,59,61,70,92,62,44,53,71,58,100,41,22,45,55,52,60,68,83,53
tulou,39.0,46,78,56,79,75,59,26,20,60,56,0,56,81,78,59,50,47,50,36,62,47,29,74,67,41,68,28,42,30,48,67,35,60,52,74,85,94,50,69,62,77,34,22,68,65,100,55,70,81,70,67
fexy,64.0,52,34,33,19,46,35,44,56,70,63,75,53,22,49,65,50,0,26,72,48,64,13,58,65,23,67,21,44,74,33,38,0,67,24,38,100,48,44,52,34,45,36,0,49,42,45,84,51,39,58,49
mineeds,0.0,0,0,35,0,0,0,0,0,0,0,0,29,0,0,0,0,100,0,0,0,0,0,60,0,30,0,0,0,0,0,48,70,0,52,0,35,0,0,0,0,0,30,0,0,0,37,0,0,0,0,0
biba,73.0,74,89,93,92,93,100,95,95,87,82,87,82,76,77,87,87,89,93,92,72,73,69,73,68,68,70,69,73,80,78,74,78,84,77,74,73,77,74,73,68,74,73,68,80,76,71,69,73,72,72,63
stepapp,100.0,49,34,37,23,28,69,41,26,26,41,14,22,32,26,23,22,27,74,30,28,41,38,80,36,52,79,73,29,24,7,40,19,28,38,28,22,10,22,14,21,34,18,13,16,13,14,17,10,9,12,0
samosaapp,0.0,0,0,100,0,37,0,79,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,32,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0
iqcard,0.0,38,0,33,0,42,51,0,0,39,0,0,37,28,73,0,0,36,0,0,67,39,28,80,91,47,61,0,27,0,42,0,0,0,0,50,60,30,0,0,42,0,0,39,0,44,31,0,100,40,38,0
optogan,0.0,0,0,0,0,0,100,51,0,0,0,49,0,0,31,0,0,0,0,82,46,0,92,0,0,0,31,0,0,0,0,0,48,0,35,49,30,0,33,38,0,0,0,0,0,0,0,0,0,37,0,0
qlusters,0.0,0,0,0,0,43,0,46,0,0,0,0,37,0,0,48,57,0,0,0,0,44,64,71,0,0,77,100,0,0,50,53,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,70,0,0,0
tripit,66.0,61,73,52,66,66,55,60,75,50,48,65,64,56,71,64,65,54,69,40,54,68,52,64,40,46,51,48,50,34,64,63,59,59,62,65,73,84,74,81,67,62,63,76,57,73,59,93,60,75,72,100
parler,46.0,47,46,42,39,39,40,37,39,39,39,42,41,44,46,53,48,47,50,100,57,53,51,55,53,45,47,47,41,39,45,52,47,47,48,47,47,49,47,47,50,47,46,45,44,50,50,45,49,45,45,45
caredoc,30.0,40,29,30,42,34,48,28,50,25,32,27,30,35,31,34,37,34,40,47,35,38,47,48,61,48,43,58,71,100,53,39,28,30,53,60,31,30,39,44,50,39,36,44,30,34,37,43,24,38,30,36
huntergroup,0.0,0,100,0,0,0,53,52,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,37,0,77,46,0,54,0,33,0,0
causely,58.0,0,28,0,42,0,0,100,0,0,0,49,0,47,0,0,28,0,0,44,0,0,35,0,0,0,0,0,0,0,0,36,0,97,0,0,0,49,0,0,0,27,0,0,0,29,25,0,0,0,42,0
juno,74.0,67,74,81,73,69,70,65,59,57,64,64,59,54,60,61,61,58,62,64,56,62,58,60,55,55,59,61,56,60,61,63,57,61,61,60,63,63,64,65,100,69,65,66,67,66,65,63,67,63,68,71
farmdrop,0.0,0,56,0,0,0,0,22,36,31,0,17,0,0,55,0,0,77,0,31,0,54,0,14,43,0,0,0,0,19,43,14,60,0,0,100,0,0,0,18,41,0,0,37,23,26,19,0,23,37,0,0
joany,61.0,100,36,33,31,38,61,39,50,54,57,59,59,26,50,55,72,55,29,44,65,0,69,51,40,41,82,40,23,0,68,29,13,82,53,58,50,92,50,85,0,70,36,13,36,12,44,15,43,40,44,47
vizu,62.0,73,64,56,70,92,85,54,86,68,65,64,82,77,72,60,72,59,84,67,61,75,59,74,49,64,91,72,34,54,78,85,59,80,100,61,84,67,90,64,74,61,64,83,73,58,46,64,69,78,69,96
wondrlab,0.0,68,0,0,0,33,0,0,100,57,0,0,0,0,31,59,0,28,72,0,0,0,0,0,0,0,0,0,0,31,0,62,0,0,31,0,0,41,0,83,52,37,28,0,0,0,0,0,38,0,90,0
stayzilla,0.0,59,0,36,0,83,0,36,0,0,0,0,0,0,0,0,0,61,0,0,35,0,0,36,0,51,0,0,0,69,0,0,56,27,0,100,0,0,0,0,0,26,0,0,27,36,0,0,91,52,0,0
ranovus,29.0,0,0,0,40,68,0,0,39,90,67,100,26,30,0,0,0,26,0,0,0,79,0,0,29,0,0,0,0,0,0,0,36,0,0,0,81,28,0,0,0,0,53,30,33,0,0,0,0,41,0,0
yunojuno,79.0,78,59,88,68,0,50,100,95,90,70,63,0,65,85,81,94,46,58,31,50,69,38,0,48,36,27,0,41,0,42,25,52,0,83,45,57,95,0,0,72,21,58,69,55,37,48,36,20,66,80,62
ciri,70.0,44,36,33,31,36,50,58,65,64,50,67,75,72,73,78,78,65,63,64,60,64,61,64,66,97,100,53,38,36,49,61,58,54,59,58,59,63,60,70,65,40,58,55,53,30,32,48,63,52,58,60
cointribe,0.0,72,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,46,41,0,0,0,0,58,0,0,47,0,0,34,0,0,0,46,0,0,0,0,0,0,100,0,0
magink,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,100,42,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
nxgn,5.0,25,8,27,16,10,42,21,24,23,8,32,14,12,8,14,0,19,14,18,10,16,31,10,12,13,6,14,12,24,19,21,13,22,19,17,25,14,13,24,16,100,41,9,14,14,5,35,31,8,20,12
epatientfinder,0.0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,47,43,0,0,31,0,87,0,47,0,0,0,84,0,0,40,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
annapurnalabs,0.0,0,60,100,0,62,0,71,0,0,0,0,0,0,0,0,57,0,42,0,37,0,42,0,0,0,0,41,0,0,0,0,56,33,41,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
realops,0.0,0,31,0,0,0,0,45,0,0,49,0,0,0,0,0,0,0,0,73,0,0,0,0,0,32,0,0,0,88,57,0,0,0,64,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,37,0
yardsellr,0.0,0,0,0,0,0,0,0,0,0,0,0,0,75,100,0,73,0,0,0,0,42,0,68,0,0,62,0,58,91,0,0,51,0,0,40,49,69,0,0,0,56,0,0,0,0,0,0,0,92,0,0
oooh,92.0,89,97,82,89,78,100,93,98,98,91,80,78,79,76,77,74,68,73,75,86,77,80,77,64,71,64,73,73,86,73,84,62,81,76,80,92,82,81,73,72,71,74,74,69,76,92,69,70,69,81,78
140proof,0.0,0,0,0,0,0,0,0,31,100,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,49,0,0,0,0,0,0,49,0,0,0,0,33,38,0,0,0,0,0,84,30,0,0,0,0,0
f1arcade,0.0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,100,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0
cirro,81.0,83,96,90,87,77,78,86,97,90,100,79,83,72,68,74,71,70,77,68,72,68,71,70,56,66,68,76,71,83,81,76,86,80,67,65,77,79,81,65,68,72,75,76,69,76,59,72,71,78,68,78
en.dawanda.com,100.0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,83,87,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0
1000museums,0.0,0,0,0,0,39,54,0,78,0,0,0,0,0,0,0,41,0,0,0,100,30,0,0,0,30,0,0,0,0,0,0,42,0,0,0,0,0,0,85,0,28,30,0,34,0,0,0,0,0,0,0
gogoprint,67.0,45,0,28,23,100,18,53,58,19,43,40,37,44,28,0,57,41,0,28,33,29,49,46,0,29,38,39,38,31,59,24,29,25,78,47,50,52,22,78,25,65,38,60,0,43,50,55,78,36,0,49
stackla,50.0,0,0,0,100,38,0,27,0,51,0,0,0,40,0,57,0,0,56,0,34,0,0,25,25,0,0,0,0,79,0,42,42,0,73,0,0,33,0,0,0,0,26,0,25,0,0,0,45,28,68,0
trubates,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,57,35,28,0,0,0,38,39,25,0,0,44,0,100,0,0,45,0,0,0,0,0,0,0,0,0,0,0
aridhia,0.0,0,57,0,0,0,0,0,0,0,0,0,39,0,38,0,0,0,0,71,28,0,0,46,0,0,38,100,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,74,71,0
customfurnish,0.0,0,0,0,0,58,68,0,0,0,60,0,61,0,0,0,0,0,0,0,0,0,65,0,0,47,0,0,62,0,0,0,55,0,100,0,0,48,0,0,0,65,0,0,0,0,0,0,0,0,0,0
bergamotte,36.0,35,34,38,39,37,34,38,36,37,39,28,40,33,32,39,33,33,33,33,33,40,36,40,42,35,41,50,43,42,43,40,100,35,51,55,42,42,50,40,44,45,38,36,37,39,38,38,40,48,39,64
corezero,0.0,0,0,0,58,0,0,0,0,44,0,0,72,31,0,0,0,0,0,0,0,62,0,36,43,39,100,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,98,0,46,35,0,35,0,0
fairlymade,0.0,0,0,69,0,0,39,0,38,0,0,23,29,82,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,45,0,0,0,0,0,0,100,27,0,0,0,0,0,0,0,0,0,0,0,39,31,0
asavie,0.0,86,0,39,0,0,0,0,28,0,0,0,0,51,67,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,33,98,62,28,0,69,0,0,0,0,26,100,0,97,0,0,0,26,0,0,62
circlesup,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,84,0,100,47,0,0,0,0,0,0,0,47,0,0,0,55,0,0,0,91,0,0,0,0,54,0,0,0,0,0
kypp,0.0,47,32,0,0,0,0,0,0,0,21,26,49,0,23,0,0,100,0,22,0,0,22,52,0,33,60,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,21,0,34,0,30,0,30,0,0
inmoji,64.0,0,0,0,54,0,0,0,0,50,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,44,40,66,62,0,0,0,0,0
invi,87.0,87,91,67,85,89,89,87,91,89,81,95,75,100,65,81,78,85,66,78,77,85,86,75,62,63,71,75,62,94,98,81,88,91,85,91,88,66,90,83,79,87,87,95,94,85,78,73,68,59,75,82
cloudcruiser,0.0,0,0,0,0,0,100,49,0,0,0,0,0,0,0,0,0,0,49,0,0,0,41,0,0,0,0,0,61,0,0,0,0,45,0,0,0,98,0,0,0,50,0,0,0,0,50,46,0,0,0,0
neuro42,0.0,46,0,45,0,31,40,0,0,0,0,0,0,0,27,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,33,36,23,0,0,0,0,23,58,0,0,39,0,0
panjiva,87.0,86,86,85,82,92,100,72,88,79,70,80,64,75,88,86,80,74,70,73,72,89,76,79,66,70,62,72,76,61,71,82,78,66,95,84,84,84,88,76,91,66,71,71,85,76,63,72,71,66,85,69
wearality,0.0,19,0,0,22,0,23,0,0,0,30,29,0,0,0,0,0,0,0,0,47,0,0,20,0,0,0,0,0,0,40,0,51,0,24,0,21,0,0,0,0,33,0,0,0,0,0,0,0,0,0,100
boreas,97.0,77,67,77,86,87,93,91,86,84,88,83,83,79,83,100,80,86,73,75,71,64,85,70,79,73,69,63,78,67,88,72,72,78,72,78,69,78,92,81,70,73,70,67,80,74,88,89,83,71,88,71
stepchange,80.0,70,60,94,70,69,61,75,65,78,65,66,81,88,74,67,82,74,63,66,65,75,76,63,73,64,58,55,44,36,82,77,100,80,97,77,72,71,69,66,61,81,88,70,55,66,68,60,59,75,69,73
scorebig,0.0,63,0,0,35,39,64,0,41,0,35,0,0,100,0,0,0,28,0,37,25,0,0,0,38,0,0,28,0,0,0,0,0,36,0,50,0,0,0,0,0,35,0,0,54,36,0,0,0,0,0,0
printi,66.0,74,85,77,62,77,89,83,88,93,97,99,81,62,86,87,83,82,63,82,77,77,87,92,78,75,72,84,61,47,61,88,79,87,88,74,76,84,83,82,69,94,88,61,98,71,85,79,92,93,92,100
subspace.com,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,36,0,0,60,0,100,0,0,33,0,0,80,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
fixter,54.0,78,27,46,56,54,48,57,45,58,34,44,51,52,51,39,100,56,55,46,57,63,33,41,58,82,77,33,50,33,74,44,48,42,26,45,40,26,52,29,78,44,54,61,28,28,32,27,58,36,27,53
groupme,41.0,39,40,38,31,38,39,36,42,49,60,89,100,92,98,90,87,78,77,73,69,66,69,70,35,66,57,44,25,22,34,53,59,75,75,73,69,65,66,59,52,62,61,60,55,58,54,50,36,33,32,37
mapmyfitness,48.0,79,49,57,61,0,56,69,90,49,19,49,74,75,45,51,100,24,20,33,0,40,30,27,30,0,0,0,26,30,85,61,41,37,49,0,24,49,0,70,0,22,0,47,43,28,0,30,22,0,48,88
footballindex,0.0,0,19,0,0,0,29,0,0,0,0,0,34,0,0,0,87,54,100,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,71,0,0,18,0,0,0,0,0,0,0,0,0,33,0,0,0,0
omura,50.0,72,59,53,58,62,57,39,60,55,44,50,60,56,87,76,53,55,48,43,45,46,50,47,55,34,55,74,68,100,82,62,27,58,70,80,75,66,57,54,55,67,54,65,59,61,58,72,52,60,83,68
meevee,19.0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0,100,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,12,0,14,0,0,0,0,24,0,0
lendful,0.0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,54,0,0,37,0,0,0,0,0,61,0,0,0,0,0,51,0,0,33,0,100,0,0,0,0,0,42,36,0,0,0,0,0,0,0
snapguide,0.0,34,41,0,0,0,0,0,51,0,0,26,0,0,0,0,0,0,0,0,22,0,0,0,30,20,19,58,0,0,0,0,0,31,0,0,0,0,0,0,29,29,0,0,27,100,25,0,28,23,51,0
lyte,98.0,94,95,96,88,100,92,87,94,80,90,86,98,87,86,86,87,82,86,73,75,84,85,75,81,89,78,74,75,88,89,85,93,100,88,97,76,89,85,82,83,90,96,90,81,91,73,70,76,73,79,83
ikaaz,0.0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,100,0,0,0,27,0,0,0,0,41,0,0,0,44,0,0,0,19,0,50,67,21,0,0,0,29,23,0,0,0
ypt,62.0,64,62,77,77,61,68,60,65,65,57,66,65,64,56,85,84,74,81,85,78,63,87,92,80,79,94,89,84,75,82,72,68,76,100,79,64,83,73,79,74,70,73,70,76,59,70,76,79,89,76,55
geometwatch,0.0,0,0,0,28,0,0,37,0,86,0,100,0,0,80,0,0,0,0,0,0,0,36,0,37,0,0,0,0,0,0,0,0,0,0,0,0,29,0,59,0,0,0,0,30,0,0,0,0,82,0,93
latto,30.0,26,24,52,26,27,32,25,21,23,19,20,26,21,21,32,27,31,100,47,32,25,22,31,27,24,23,29,46,77,80,58,36,32,60,43,22,24,24,22,21,24,30,25,21,61,41,35,24,25,22,29
bioliteenergy,0.0,0,0,46,0,94,0,52,0,39,0,0,0,0,0,0,0,0,71,0,0,0,0,49,0,0,74,0,37,0,42,0,51,0,100,0,0,0,0,0,0,0,52,0,57,39,0,37,0,0,0,48
vestara,70.0,0,0,36,31,0,100,48,31,50,25,74,28,0,0,23,0,22,24,24,0,0,83,0,0,0,0,0,0,68,0,20,0,25,0,0,92,0,0,30,33,83,43,0,47,0,0,28,0,73,0,0
winetworks,0.0,43,0,0,51,44,60,28,0,45,0,0,0,0,0,0,0,82,0,0,100,0,0,0,0,0,0,66,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,24,0,36,0,0,0,0
juniqe,57.0,26,40,62,60,63,53,52,44,64,62,64,56,63,49,55,82,74,58,68,58,100,73,90,98,76,98,88,69,84,91,81,71,90,92,83,66,70,67,72,58,66,60,52,66,37,43,68,45,42,39,31
bluestripe,0.0,0,60,0,0,0,42,32,0,36,40,0,93,0,0,63,0,0,0,51,0,0,0,0,0,0,61,0,0,60,0,0,0,0,0,0,0,49,0,100,0,40,75,0,0,88,0,88,0,62,42,0
exascaler,26.0,0,0,0,0,0,91,0,0,0,60,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,25,36,36,0,0,0,0,0,0,0,0,31,0,30,0,0,0,52,0,0,27,0,0,25,0,100
kongstudios,0.0,0,0,0,62,0,0,0,0,22,0,0,0,0,0,55,0,0,0,0,0,0,24,0,0,26,0,52,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ngmoco,0.0,0,0,0,0,0,82,0,0,0,46,0,0,51,0,74,89,0,0,0,0,0,0,66,0,45,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,78,0,0,100,0,0,0,0,0,0,0
digitgaming,0.0,0,0,0,0,0,0,65,48,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,40,0,55,0,43,0,0,0,0,74,0,0,100,0,0,37,0,0,0,73,77,0,0,0,0,0,0,85
edray,0.0,0,40,45,0,65,0,0,0,0,0,21,0,27,25,0,0,0,0,34,0,100,0,27,0,48,21,0,0,0,0,0,0,37,33,24,0,0,0,0,17,26,45,0,56,0,22,0,19,0,0,62
musicmessenger,62.0,0,0,0,0,0,83,27,0,0,0,0,83,0,0,81,84,25,52,0,100,0,0,41,0,33,0,0,33,0,0,0,0,0,0,37,0,0,0,0,0,0,0,58,0,0,77,0,0,0,0,0
spoonrocket,0.0,0,0,100,62,0,0,0,0,0,44,28,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
socialfinance,0.0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,75,0,77,0,95,100,0,0,0,0,0,0,0,0,0,0,0,44,0,65,0,0,0,0,0,0,0,85,0,0,0,0,0,46,0
spiritualgangster,39.0,0,0,0,0,77,34,0,39,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,62,63,38,0,51,34,100,45,0,0,0,0,38,0,52
advancedacademics,0.0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,26,35,100,0,24,0,0,0,0,0,0,32,0,45,23,0,0,37,0,0,0,0,0,23,0,0,0,42,0,0,0,0
comunitae,0.0,0,0,47,0,0,0,0,56,0,0,0,0,38,0,0,0,45,38,0,100,59,0,0,0,0,0,0,0,43,52,0,0,66,0,0,0,0,37,0,0,0,0,0,91,0,0,0,0,76,0,0
farmtaaza,0.0,100,0,0,26,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,32,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,35,0,0,0
courseload,0.0,0,22,42,0,40,0,0,48,34,43,100,50,41,78,0,62,0,0,53,0,0,36,0,0,43,0,50,22,43,0,72,38,65,22,80,38,34,61,63,53,45,26,67,24,20,0,48,19,19,0,0
appgratis,64.0,0,45,0,100,0,0,45,0,0,0,0,58,29,36,0,0,0,0,0,0,71,0,0,0,39,0,61,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,75,0,0,29,38,44,38,36,32
nousantigaspi,0.0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,49,100,35,0,37,44,0,0,0,0,41,93,0,77,0,37,0,0,0,0,0,0,34,22,0,70,0,0,0,0,0,0,0,0
pvolve,52.0,59,46,13,34,25,53,10,36,68,37,42,56,23,29,46,28,35,31,26,24,27,57,50,47,99,43,48,41,23,100,42,75,62,22,71,53,37,41,44,34,42,12,44,36,45,79,66,43,81,31,20
azanda,0.0,23,0,0,0,23,0,0,0,68,0,0,0,49,0,0,0,37,73,28,0,0,0,0,0,41,0,0,24,0,0,49,32,0,33,0,40,0,0,0,0,0,0,0,0,100,0,22,0,0,34,68
gameface,100.0,48,94,77,75,66,67,67,87,91,23,51,68,53,48,53,49,61,50,73,69,59,52,25,51,75,75,63,63,74,52,52,55,78,47,60,47,69,30,38,45,63,61,80,64,46,48,44,68,44,45,42
samco,71.0,71,84,76,84,78,72,70,82,76,75,100,92,77,80,79,70,78,75,70,63,71,78,87,65,77,71,84,69,73,73,65,69,66,70,76,74,73,75,74,73,81,72,72,72,77,72,67,83,81,78,81
bytemobile,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,0,41,34,0,0,0,29,0,29,0,33,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
readypulse,0.0,0,0,0,0,0,0,95,100,0,0,0,0,62,0,0,0,0,76,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
divan.tv,0.0,0,0,0,0,0,0,100,0,0,27,0,79,0,0,0,29,0,29,0,0,0,0,52,0,0,0,0,72,80,0,0,0,0,0,53,0,0,62,0,0,0,0,0,0,0,33,0,0,30,0,43
www2,98.0,82,75,81,74,70,80,85,81,75,86,88,71,100,76,69,79,77,74,74,81,75,78,70,93,61,74,57,62,65,69,74,65,76,68,62,61,75,80,78,73,65,91,64,60,76,73,60,63,72,67,73
callapp,71.0,64,67,66,69,99,72,75,93,78,73,79,95,81,58,72,83,91,82,56,73,71,67,79,77,62,73,83,80,71,66,62,76,87,90,56,73,83,91,81,88,74,84,85,76,87,90,95,100,68,88,71
telestax,0.0,0,0,100,0,84,0,0,0,33,69,0,0,0,86,0,29,0,0,61,42,0,0,0,0,0,0,0,0,0,36,53,0,0,47,0,49,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
jtower,63.0,64,69,55,40,39,33,45,39,58,40,67,75,39,43,44,34,0,56,74,46,55,42,77,42,65,50,29,22,0,80,93,31,12,34,72,30,22,33,21,25,0,58,73,48,38,40,38,100,38,29,63
fr,93.0,98,95,97,92,91,91,91,94,89,91,90,89,90,95,92,93,93,99,99,98,97,97,96,92,95,96,92,93,91,94,95,94,99,98,92,91,92,92,94,89,91,91,96,91,100,94,88,91,87,92,94
