,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
travelbird,70.0,37,87,46,71,66,81,68,69,62,45,20,0,67,44,73,35,36,44,19,55,55,18,38,20,42,11,34,0,37,28,63,49,38,39,57,43,28,40,29,28,55,20,28,37,57,31,31,74,36,29,100
kitsylane,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,41,0,0,64,100,0
tripda,32.0,0,0,100,0,0,29,0,29,40,0,0,0,0,53,0,0,0,37,27,64,0,0,0,0,28,0,0,0,0,0,0,0,34,56,0,0,0,0,0,0,0,0,28,0,0,0,20,0,23,33,0
xtify,0.0,0,42,0,0,0,44,0,0,0,0,49,0,0,0,0,33,0,0,43,0,0,0,43,0,0,0,53,0,0,0,0,0,0,20,0,100,0,0,0,21,28,0,0,30,53,0,0,0,0,0,0
sbtv,15.0,6,5,12,4,4,7,7,5,7,4,11,8,5,0,12,12,0,13,10,6,8,13,9,8,5,12,9,4,10,4,3,100,72,38,27,15,19,23,8,15,21,16,21,9,10,12,42,42,32,30,39
enrex,0.0,0,45,0,44,41,32,0,30,0,0,0,29,37,0,0,0,0,0,0,51,35,42,0,0,0,0,40,100,36,0,53,0,0,0,83,0,0,0,25,95,0,28,41,0,47,0,0,0,0,0,0
tellmebaby,0.0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,42,0,37,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,41,0,0,35,0,0,0,0,0,0,0
collecta,66.0,59,50,71,66,68,57,81,85,65,100,44,80,63,59,67,62,77,63,60,74,89,98,90,98,92,74,81,81,91,55,71,64,61,75,64,62,90,66,61,62,80,62,64,46,54,49,61,59,68,59,0
vopium,0.0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,28,82,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,49,0,0,0,0,0,35,40,0,0,0,0,0,0,0,34,0,0
ourstory,82.0,0,42,43,0,0,0,0,52,0,0,0,0,0,38,0,38,0,0,0,30,0,0,0,29,31,40,40,0,0,0,39,0,71,100,0,0,0,31,0,0,58,0,0,0,0,0,0,0,40,0,0
urdoorstep,0.0,24,34,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,21,0,0,0,43,47,0,0,21,0,31,25,0,46,0,0
soflow,78.0,72,86,83,82,86,82,91,92,97,99,100,100,89,84,64,67,79,61,51,71,58,56,50,74,40,36,42,42,40,47,52,44,30,44,56,44,60,69,60,53,65,51,58,63,63,73,74,71,70,73,43
rightbrain,0.0,0,0,0,0,0,52,32,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,31,27,0,0,0,0,0,27,66,36,0,49,0,0,0,0,0,100,65,0,0,0,0,84,0,0,0,0
diddit,40.0,61,41,5,0,4,4,3,4,0,5,13,35,100,90,69,61,60,58,62,50,13,42,62,66,58,54,43,16,4,5,49,67,56,46,49,33,11,51,41,44,47,19,7,7,41,51,28,42,21,41,24
istream,43.0,45,39,47,51,47,60,47,45,52,52,36,57,37,44,38,56,27,53,74,57,43,81,87,74,100,81,61,69,49,63,32,49,50,60,66,62,46,49,54,45,55,54,51,28,55,65,44,30,49,46,73
